GL계정,당년_백만원,전년_백만원,차이_백만원,설명
지급수수료_법률자문료,49.0,473.0,-424.0,"전년 대비 424백만원 감소. 주요 변동: BCLP 모빈 소송 대응 법률비용(-266백만원), Movin 관련 법무법인 율촌 법률자문료(-120백만원), 모빈 분쟁 조정 비용(-64백만원)으로 법률자문 비용이 크게 축소됨."
복리후생비_건강검진,189.0,0.0,189.0,전년 대비 189백만원 증가. 주요 변동: 25년 임직원 및 배우자 종합건강검진 정산의건(+189백만원)으로 인해 복리후생비가 크게 증가.
급료와임금,1313.0,1197.0,116.0,"전년 대비 116백만원 증가. 주요 변동: 디지털본부_e-BIZ팀 급여(-137백만원), 디지털본부_Web Platform팀 급여(+115백만원), 디지털본부_Enterprise Solution팀 급여(+92백만원)으로 특정 팀의 급여 조정이 전체 급여 비용에 영향을 미침."
지급수수료_기타,224.0,120.0,104.0,"전년 대비 104백만원 증가. 주요 변동: 25.12월 자산운용서비스 수수료(HC) +200백만원, 24.12월 자산운용서비스 수수료(HC) -90백만원, 홈핏 정기 수업료 정산의 건 +3백만원으로 자산운용 관련 비용이 크게 증가함."
지급수수료_인사채용,0.0,102.0,-102.0,전년 대비 102백만원 감소. 주요 변동: 지급수수료_인사채용(-102백만원)으로 인사채용 관련 비용이 전년의 102백만원에서 당년 0백만원으로 줄어들었다.
제수당,453.0,373.0,79.0,"전년 대비 79백만원 증가. 주요 변동: 공통 HR팀 제수당(-72백만원), 디지털본부 e-BIZ팀 제수당(-40백만원), 디지털본부 Web Platform팀 제수당(+37백만원)으로 부서별 제수당 조정이 이루어짐."
지급수수료_컨설팅,62.0,132.0,-70.0,"전년 대비 70백만원 감소. 주요 변동: 정보보호인증 갱신심사 컨설팅 중도금(+41백만원)으로 신규 지출이 발생한 반면, 연결시스템 구축 회계자문 용역 잔금(-40백만원) 및 한-중 APA 용역수수료 중도금(-40백만원)으로 기존 지출이 감소."
복리후생비_기타,1.0,56.0,-55.0,"전년 대비 55백만원 감소. 주요 변동: 공통 조식비(-26백만원), 외식사업부 기타매출(-17백만원), 공통 조식비용 정산(-11백만원)으로 복리후생비 지출이 크게 축소."
복리후생비_직원구매,0.0,53.0,-53.0,"전년 대비 53백만원 감소. 주요 변동: 디지털본부 IT담당 직원구매분(-6백만원), e-BIZ팀 직원구매분(-6백만원), HR팀 직원구매분(-4백만원)으로 인해 복리후생비 지출이 전반적으로 축소."
지급수수료_그룹CI사용료,307.0,357.0,-50.0,"전년 대비 50백만원 감소. 주요 변동: 그룹브랜드(CI)사용료에서 전년 357백만원에서 당년 0백만원으로 감소, 반면 25.12결산에서 그룹브랜드(CI)사용료가 307백만원 발생."
