계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,202601
IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F00500,공통_HR팀,5500000.0
IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F00700,공통_회계팀,1666667.0
IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F01300,공통_IT팀,79423715.0
IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F02600,공통_정보보안팀,10016773.0
IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F02900,공통_AX팀,4450000.0
IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F03000,공통_AI 엔지니어링팀,6970000.0
IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F05100,공통_마케팅본부,4730000.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F00000,공통_공통,339726.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F00100,공통_임원,252780.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F00200,공통_경영개선팀,486490.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F00300,공통_총무,562246.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F00400,공통_법무팀,330672.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F00500,공통_HR팀,10059575.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F00600,공통_공간기획팀,774878.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F00700,공통_회계팀,1263813.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F00800,공통_경영관리팀,8417058.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F01200,공통_e-BIZ팀,1002381.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F01300,공통_IT팀,357519210.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F01800,공통_소비자전략팀,1769019.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F02300,공통_안전보건팀,151533.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F02400,공통_경영기획팀,2338474.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F02500,공통_자금팀,784579.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F02600,공통_정보보안팀,2571147.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F02700,공통_Process담당,1581442.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F02900,공통_AX팀,41566083.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F03000,공통_AI 엔지니어링팀,46177219.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F03200,공통_PI팀,64335592.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F03300,공통_무역팀,226379.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F03900,공통_퍼포먼스마케팅팀,567050.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F04400,공통_통합영업팀,1050360.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F04500,공통_통합소싱팀,222307.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F04800,공통_해외사업팀,506714.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F05100,공통_마케팅본부,3293156.0
IT수수료,IT수수료,55210115,지급수수료_IT사용료,F05200,공통_통합온라인채널팀,1418801.0
IT수수료,SW상각비,55270113,감가상각비_소프트웨어,F00000,공통_공통,8971667.0
IT수수료,SW상각비,55270113,감가상각비_소프트웨어,F00300,공통_총무,142044.0
IT수수료,SW상각비,55270113,감가상각비_소프트웨어,F00400,공통_법무팀,639071.0
IT수수료,SW상각비,55270113,감가상각비_소프트웨어,F00500,공통_HR팀,1163333.0
IT수수료,SW상각비,55270113,감가상각비_소프트웨어,F00700,공통_회계팀,18077779.0
IT수수료,SW상각비,55270113,감가상각비_소프트웨어,F00800,공통_경영관리팀,1000000.0
IT수수료,SW상각비,55270113,감가상각비_소프트웨어,F01200,공통_e-BIZ팀,250000.0
IT수수료,SW상각비,55270113,감가상각비_소프트웨어,F01300,공통_IT팀,101265559.0
IT수수료,SW상각비,55270113,감가상각비_소프트웨어,F01900,공통_Process팀,461366762.0
IT수수료,SW상각비,55270113,감가상각비_소프트웨어,F02600,공통_정보보안팀,12702353.0
IT수수료,SW상각비,55270113,감가상각비_소프트웨어,F02900,공통_AX팀,5164167.0
IT수수료,SW상각비,55270113,감가상각비_소프트웨어,F03000,공통_AI 엔지니어링팀,666667.0
IT수수료,SW상각비,55270113,감가상각비_소프트웨어,F03200,공통_PI팀,4797220.0
IT수수료,SW상각비,55270113,감가상각비_소프트웨어,F04500,공통_통합소싱팀,121243.0
IT수수료,SW상각비,55270113,감가상각비_소프트웨어,F04800,공통_해외사업팀,1643333.0
감가상각비,감가상각비,55250107,감가상각비_건물부속설비,F00000,공통_공통,925000.0
감가상각비,감가상각비,55250113,감가상각비_차량운반구,F00300,공통_총무,10098190.0
