계정대분류,계정중분류,G/L 계정,G/L 계정 설명,202501,202502,202503,202504,202505,202506,202507,202508,202509
IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,132691355,234166762,143324499,128615317,233861579,119610132,107315571,126967417,240618895
IT수수료,IT수수료,55210115,지급수수료_IT사용료,593987449,553681467,554611129,575527345,553432846,591672429,566565936,587344981,571925224
IT수수료,SW상각비,55270113,감가상각비_소프트웨어,626952389,620490301,622133632,622216970,622359010,559129839,612470814,612470824,612470805
감가상각비,감가상각비,55250107,감가상각비_건물부속설비,925000,925000,925000,925000,925000,925000,925000,925000,925000
감가상각비,감가상각비,55250109,감가상각비_임차시설물,709201,709202,709201,708201,0,0,0,0,0
감가상각비,감가상각비,55250113,감가상각비_차량운반구,10098189,10098191,10098188,10098190,10098189,10098191,10098189,10098189,10098190
감가상각비,감가상각비,55250115,감가상각비_공기구비품,62128628,68004049,69418707,86313671,86711758,45758906,73638532,74462080,75166451
감가상각비,무형자산상각,55270101,감가상각비_상표권,1239855,1239828,1239841,1239835,1239840,1239828,1239858,1239867,1239797
감가상각비,무형자산상각,55270115,감가상각비_기타의무형자산,9702,9702,9703,9702,9702,9702,9702,9703,9702
기타비용,광고선전비,55170101,광고선전비_매체집행_온라인,0,0,0,0,0,0,0,0,0
기타비용,광고선전비,55170103,광고선전비_협찬/제휴,0,0,0,0,0,0,0,0,0
기타비용,광고선전비,55170109,광고선전비_기타,0,0,0,974621,3824224,-19273,0,0,0
기타비용,광고선전비,55170121,(E-BIZ)광고선전비_매체광고,0,0,0,0,0,0,0,0,0
기타비용,광고선전비,55170123,(E-BIZ)광고선전비_촬영/기타,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000
기타비용,도서인쇄비,55150101,도서인쇄비,15103879,14375581,12719497,3480428,5366664,2308359,35468335,2337524,17178857
기타비용,보험료,55330101,보험료_화재보험료,438225,395816,-1300539,424089,438225,116031,438225,438225,424089
기타비용,보험료,55330103,보험료_배상책임보험료,458622,414239,458622,443826,458622,443827,458622,458621,440786
기타비용,보험료,55330105,보험료_보증보험료,287524,259699,592624,449230,287918,278630,287918,288536,279228
기타비용,보험료,55330109,보험료_재산종합보험료,51737039,46730229,44945942,34205538,35345723,34205538,35345723,35345723,34205538
기타비용,보험료,55330111,보험료_차량보험료,1231533,1112352,1231532,1191806,1193354,1017276,1051186,1051183,1022013
기타비용,보험료,55330113,보험료_기타,3624840,3255897,3880022,3649187,3770826,3649187,3770827,3770826,3649187
기타비용,세금과공과,55130103,세금과공과_자동차세,0,0,0,0,0,863750,0,0,465090
기타비용,세금과공과,55130111,세금과공과_등록면허세,0,40200,0,247200,180000,-67500,0,0,0
기타비용,세금과공과,55130113,세금과공과_장애인고용부담금,273450470,0,0,0,0,0,0,0,0
기타비용,세금과공과,55130115,세금과공과_주민세종업원분,21516920,19253240,19151840,30942200,19629760,18910450,18714120,19107870,19159750
기타비용,세금과공과,55130120,세금과공과_주민세사업소분,0,0,0,0,0,0,0,21243250,0
기타비용,세금과공과,55130125,세금과공과_폐기물부담금,0,0,12104200,0,5512720,27710700,0,0,17110500
기타비용,세금과공과,55130127,세금과공과_손금부인,0,0,0,0,0,0,0,726710,-439710
기타비용,세금과공과,55130129,세금과공과_기타,0,8040,0,205540,126000,0,175000,0,0
기타비용,수도광열비,55090101,수도광열비,94596259,94457608,95168155,64169535,52626814,49718904,77790918,114417488,106762633
기타비용,수선비,55350101,수선비_기타,0,-612000,2812600,-929000,-347000,-205000,-352180,-207000,-256364
기타비용,접대비,55190101,접대비_경조사비,1000000,0,500000,400000,0,0,500000,400000,300000
기타비용,접대비,55190103,접대비_현물,0,0,0,0,0,0,0,171800,0
기타비용,접대비,55190105,접대비_일반,34811160,46141450,9113882,21720460,41063810,4776470,19695730,29805320,43672800
기타비용,접대비,55190107,접대비_현물_재고대체,0,0,0,0,0,0,0,348700,0
기타비용,지급임차료,55230105,지급임차료_창고,0,0,0,0,0,0,0,0,0
기타비용,지급임차료,55230107,지급임차료_사무실,0,0,0,0,0,0,0,0,0
기타비용,지급임차료,55230121,지급임차료_관리비,608266,549401,608266,588645,608265,588645,608266,608266,588644
기타비용,통신비,55070101,통신비_전화사용료,5707522,2642345,3178732,1852226,1638010,2007087,1768969,1564461,1204671
기타비용,통신비,55070103,통신비_우편료,377460,518682,515013,713447,785725,383924,442737,438911,287756
기타비용,통신비,55070107,통신비_해외로밍,220881,0,188281,369967,189033,261027,475539,703583,0
기타비용,통신비,55070109,통신비_IDC,3400000,3400000,3400000,3400000,3400000,3400000,3400000,3400000,3400000
기타비용,통신비,55070111,통신비_비즈크로샷,922818,930227,0,971851,907583,790973,581752,732495,638084
기타비용,통신비,55070117,통신비_기타,2364700,2412581,2194369,2168000,2030734,2967700,2996700,2996700,3008610
기타비용,통신비,55070119,통신비_CRM,644007,3335167,621648,8592712,1012689,1221336,769529,706958,8483999
소모품비,소모품비,55110101,소모품비_사무용품,2552311,3093369,1617204,5945368,2574555,1336825,3554722,1666518,1530472
소모품비,소모품비,55110103,소모품비_VMD소모품,0,0,0,0,0,0,0,0,140727
소모품비,소모품비,55110105,소모품비_샘플대,1331962,19800,100000,1353701,1700375,0,360000,1052500,253000
소모품비,소모품비,55110115,소모품비_사무용가구,0,0,113636,4377000,0,0,0,0,0
소모품비,소모품비,55110117,소모품비_전산소모품,9839683,1664397,9598648,13001553,1603042,3067793,1122664,3975282,30032486
소모품비,소모품비,55110119,소모품비_매장소품대,0,0,0,113500,0,0,0,0,0
소모품비,소모품비,55110121,소모품비_MRO(사무용품),5756266,8451399,6115193,38926110,6171010,6617134,1679954,3119508,2829389
소모품비,소모품비,55110123,소모품비_MRO(전산소모품),1401219,1844508,924954,3738090,1256319,4403620,621740,700281,1602410
소모품비,소모품비,55110131,소모품비_부서,20223536,9847182,14052000,35588227,3955539,6373990,14677030,1846932,13721515
소모품비,소모품비,55110133,소모품비_기타,10234964,9254877,14384091,85131959,7657146,22889380,4699395,2113800,-13301695
소모품비,소모품비,55240101,샘플구입대_국내,0,97280,640400,128636,0,355980,0,0,0
인건비,인건비,53010101,급료와임금,1276559856,1252114859,1281816845,1325971383,1304357867,1261501733,1280193173,1239774872,1249158935
인건비,인건비,53010103,제수당,326114117,301917176,320101115,1188739327,316097289,319249056,320212707,357116624,340024797
인건비,인건비,53010105,잡급,7031058,8524162,17997216,15331261,10614095,14990513,13183335,13283335,17340664
인건비,인건비,53010107,임원급여,374938329,260151461,247410001,438700992,253700002,253700002,253700002,278034952,270335002
인건비,인건비,53030101,퇴직급여충당금전입액,247201541,226772939,231165999,244790794,234269396,229306349,231763237,250162283,232439845
인건비,인건비,55010105,복리후생비_의료보험,70164600,68936840,71033690,104109660,100912570,98451010,73446870,73516230,69247790
인건비,인건비,55010107,복리후생비_고용보험,27217848,27151827,26430009,64619705,28141349,29112523,29121912,28443658,27533028
인건비,인건비,55010129,복리후생비_산재보험,13982683,13162875,13038401,27568120,13603584,13823220,13873074,13638100,13411839
인건비,인건비,55130101,세금과공과_국민연금,58876350,56410220,57398460,57034200,57263530,54382940,58390500,58441200,57863850
지급수수료,CI사용료,55210191,지급수수료_그룹CI사용료,329000000,267000000,200000000,189000000,212000000,217000000,346000000,366000000,311000000
지급수수료,전문용역,55210119,지급수수료_회계감사,76000000,0,128398348,0,0,70000000,0,70000000,0
지급수수료,전문용역,55210121,지급수수료_법률자문료,6900000,273276957,10815000,16658692,133113461,8951900,204665258,196452713,170812066
지급수수료,전문용역,55210129,지급수수료_컨설팅,1125000,1125000,12764743,1526639,16540027,16526640,1540027,1540027,2876640
지급수수료,지급수수료,55210109,지급수수료_물류용역비,0,0,0,0,0,0,0,0,60600
지급수수료,지급수수료,55210111,지급수수료_물류운송비,7918728,8854234,6935184,8099275,8530869,6047019,3566722,6565842,3958389
지급수수료,지급수수료,55210123,지급수수료_온라인몰운영비,186085000,192085000,194085000,180125000,192635000,192635000,192635000,197635000,197635000
지급수수료,지급수수료,55210125,지급수수료_건물유지보수비,0,0,4720000,0,0,0,0,0,6736000
지급수수료,지급수수료,55210127,지급수수료_매장보수대,0,0,0,0,0,0,0,0,0
지급수수료,지급수수료,55210131,지급수수료_인사채용,25282740,13600000,7127364,7050000,13300000,29200000,6300000,87719,43854583
지급수수료,지급수수료,55210133,지급수수료_교육훈련,2639453,4143843,5428716,26503765,5871778,2944258,5623732,5880170,9187321
지급수수료,지급수수료,55210135,지급수수료_상표권,986360,3569220,-2908260,0,601200,1659510,0,0,0
지급수수료,지급수수료,55210137,지급수수료_중개수수료,0,0,0,0,0,0,0,0,7188500
지급수수료,지급수수료,55210139,지급수수료_공증/등기,0,277140,0,3629380,283160,0,40000,168658,198728
지급수수료,지급수수료,55210141,지급수수료_폐기물처리,3440000,8410000,17355680,19350000,4730000,3440000,4730000,4730000,4730000
지급수수료,지급수수료,55210143,지급수수료_공사비,4575500,4105000,4963000,39864000,805000,11102000,0,0,0
지급수수료,지급수수료,55210145,지급수수료_사내행사,42365400,0,2182,18262500,2250000,0,0,0,0
지급수수료,지급수수료,55210149,지급수수료_온라인위탁판매수수료,0,0,0,0,0,0,0,0,0
지급수수료,지급수수료,55210157,지급수수료_퀵서비스,4739000,4562000,5010000,5182000,3502000,5708000,6670000,7012000,12290000
