YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202411,지급수수료,전문용역,55210121,지급수수료_법률자문료,F00400,공통_법무팀,3200008139,2024-11-26,2024-11-26,BCLP - 모빈 분쟁/소송 대응 법률비용,,,292754324.0,S
202411,지급수수료,전문용역,55210121,지급수수료_법률자문료,F00400,공통_법무팀,3400012817,2024-11-22,2024-11-22,피비쓰리 손해배상청구 대리인 보수(착수금),,,20000000.0,S
202411,지급수수료,전문용역,55210121,지급수수료_법률자문료,F00700,공통_회계팀,3400013138,2024-11-28,2024-11-28,세무자문료(삼일회계법인),,,11000000.0,S
202411,지급수수료,전문용역,55210121,지급수수료_법률자문료,F00500,공통_HR팀,3400012567,2024-11-08,2024-11-08,F&F 노무 이슈 관련 조사 비용 정산 건,,,3000000.0,S
202411,지급수수료,전문용역,55210121,지급수수료_법률자문료,F00400,공통_법무팀,3400012717,2024-11-11,2024-11-11,하도급법 등 공정거래 컴플라이언스 교육의 건,,,3000000.0,S
202411,지급수수료,전문용역,55210121,지급수수료_법률자문료,F00400,공통_법무팀,3400012758,2024-11-15,2024-11-15,24년 11월 공통법무팀 법률자문료(율촌),,,2000000.0,S
202411,지급수수료,전문용역,55210121,지급수수료_법률자문료,F00700,공통_회계팀,3400012834,2024-11-25,2024-11-25,24.11월 세무자문료(세무법인더택스),,,1000000.0,S
202411,지급수수료,전문용역,55210121,지급수수료_법률자문료,F00400,공통_법무팀,3400012961,2024-11-28,2024-11-28,24년 11월 공통법무팀 법률자문료(태평양),,,500000.0,S
202411,지급수수료,전문용역,55210121,지급수수료_법률자문료,F00500,공통_HR팀,3400012596,2024-11-11,2024-11-11,'24년 11월 F&F 노무자문수수료 정산 건,,,300000.0,S
202411,지급수수료,전문용역,55210121,지급수수료_법률자문료,F00500,공통_HR팀,3400012599,2024-11-11,2024-11-11,인사위원회 참석 및 노무자문 비용 지급의 건,,,300000.0,S
202411,지급수수료,전문용역,55210121,지급수수료_법률자문료,F00400,공통_법무팀,3400012772,2024-11-21,2024-11-21,24년 11월 공통법무팀 IPCUBE 사용료,,,100000.0,S
