YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202511,기타비용,광고선전비,55170109,광고선전비_기타,F04400,공통_통합영업팀,8000242002,2025-11-30,2025-11-30,월드몰ST 팝업 행거 대여,,,440000.0,S
202511,기타비용,광고선전비,55170109,광고선전비_기타,F04400,공통_통합영업팀,3400012706,2025-11-17,2025-11-17,월드몰ST 팝업 행거 대여,,,440000.0,S
202511,기타비용,광고선전비,55170109,광고선전비_기타,F04400,공통_통합영업팀,3300067051,2025-11-18,2025-11-18,DV 신세계센텀 신규매장 디자인생수 구입비,,,231000.0,S
202511,기타비용,광고선전비,55170109,광고선전비_기타,F04400,공통_통합영업팀,8000242002,2025-11-30,2025-11-30,DV 신세계센텀 신규매장 디자인생수 구입비,,,231000.0,S
202511,기타비용,광고선전비,55170109,광고선전비_기타,F00000,공통_공통,8000242009,2025-11-30,2025-11-30,DX 구글 광고 집행 환불,,,16.0,S
202511,기타비용,광고선전비,55170109,광고선전비_기타,F00000,공통_공통,3400013460,2025-11-30,2025-11-30,DX 구글 광고 집행 환불,,,-16.0,H
202511,기타비용,광고선전비,55170109,광고선전비_기타,F04400,공통_통합영업팀,8000241988,2025-11-30,2025-11-30,DV 신세계센텀 신규매장 디자인생수 구입비,,,-231000.0,H
202511,기타비용,광고선전비,55170109,광고선전비_기타,F04400,공통_통합영업팀,8000241997,2025-11-30,2025-11-30,DV 신세계센텀 신규매장 디자인생수 구입비,,,-231000.0,H
202511,기타비용,광고선전비,55170109,광고선전비_기타,F04400,공통_통합영업팀,8000241988,2025-11-30,2025-11-30,월드몰ST 팝업 행거 대여,,,-440000.0,H
202511,기타비용,광고선전비,55170109,광고선전비_기타,F04400,공통_통합영업팀,8000241996,2025-11-30,2025-11-30,월드몰ST 팝업 행거 대여,,,-440000.0,H
