YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202510,소모품비,소모품비,55110131,소모품비_부서,F00300,공통_총무,3300059598,2025-10-20,2025-10-20,25년 09월 공통 총무 소모품비 구매 건,,,710300.0,S
202510,소모품비,소모품비,55110131,소모품비_부서,F00300,공통_총무,3300063320,2025-10-30,2025-10-30,25.10 방수구 표지 구매,,,70500.0,S
202510,소모품비,소모품비,55110131,소모품비_부서,F00800,공통_경영관리팀,3300064105,2025-10-30,2025-10-30,6F 경영관리팀 행거 구입_2EA,,,68400.0,S
202510,소모품비,소모품비,55110131,소모품비_부서,F00300,공통_총무,3300059597,2025-10-20,2025-10-20,25년 10월 임신축하키트_치약 구매,,,61200.0,S
202510,소모품비,소모품비,55110131,소모품비_부서,F00300,공통_총무,3300060780,2025-10-28,2025-10-28,25년 10월 공통 총무 임신선물키트_차,,,58000.0,S
202510,소모품비,소모품비,55110131,소모품비_부서,F00300,공통_총무,3300060774,2025-10-20,2025-10-20,25년 10월 공통 총무 소모품비 구매 건_임신,,,35100.0,S
202510,소모품비,소모품비,55110131,소모품비_부서,F00300,공통_총무,3300063317,2025-10-13,2025-10-13,25.10 스마트폰 내시경 카메라,,,28900.0,S
202510,소모품비,소모품비,55110131,소모품비_부서,F00300,공통_총무,3300063321,2025-10-13,2025-10-13,25.10 사각 알카라인 건전지,,,26500.0,S
202510,소모품비,소모품비,55110131,소모품비_부서,F00300,공통_총무,3300060301,2025-10-28,2025-10-28,25년 10월 총무팀 소모품 구매,,,23360.0,S
202510,소모품비,소모품비,55110131,소모품비_부서,F00400,공통_법무팀,3300062919,2025-10-01,2025-10-01,25년 10월 법무팀 소모비,,,18000.0,S
202510,소모품비,소모품비,55110131,소모품비_부서,F00300,공통_총무,3300063315,2025-10-17,2025-10-17,25.10 공통 총무 소모품비(케이블 정리),,,11460.0,S
