YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202510,지급수수료,지급수수료,55210123,지급수수료_온라인몰운영비,F01300,공통_IT팀,3400011151,2025-10-24,2025-10-24,25년 10월 자사몰 FE 개발 및 운영,,,60000000.0,S
202510,지급수수료,지급수수료,55210123,지급수수료_온라인몰운영비,F01200,공통_e-BIZ팀,3400011141,2025-10-27,2025-10-27,25.10월 운영대행사 외주용역 수수료,,,42500000.0,S
202510,지급수수료,지급수수료,55210123,지급수수료_온라인몰운영비,F01200,공통_e-BIZ팀,3400011526,2025-10-31,2025-10-31,25.10 자사몰 운영 대행(요일),,,32000000.0,S
202510,지급수수료,지급수수료,55210123,지급수수료_온라인몰운영비,F01300,공통_IT팀,3400011089,2025-10-20,2025-10-20,25년 10월 자사몰 운영 QA,,,12510000.0,S
202510,지급수수료,지급수수료,55210123,지급수수료_온라인몰운영비,F01300,공통_IT팀,3400011157,2025-10-25,2025-10-25,25년 10월 EC OMS BE 개발 및 운영,,,11550000.0,S
202510,지급수수료,지급수수료,55210123,지급수수료_온라인몰운영비,F01300,공통_IT팀,3400011155,2025-10-24,2025-10-24,25년 10월 자사몰 BE 개발 및 운영 특급,,,11550000.0,S
202510,지급수수료,지급수수료,55210123,지급수수료_온라인몰운영비,F01300,공통_IT팀,3400011154,2025-10-24,2025-10-24,25년 10월 자사몰 BE 개발 및 운영 고급,,,10000000.0,S
202510,지급수수료,지급수수료,55210123,지급수수료_온라인몰운영비,F01300,공통_IT팀,3400011150,2025-10-24,2025-10-24,25년 10월 자사몰 BE 개발 및 운영,,,9130000.0,S
202510,지급수수료,지급수수료,55210123,지급수수료_온라인몰운영비,F01300,공통_IT팀,3400011156,2025-10-24,2025-10-24,25년 10월 자사몰 BE 개발 및 운영 초급,,,6670000.0,S
202510,지급수수료,지급수수료,55210123,지급수수료_온라인몰운영비,F01300,공통_IT팀,3400011153,2025-10-24,2025-10-24,25년 10월 자사몰 운영 디자인,,,5775000.0,S
202510,지급수수료,지급수수료,55210123,지급수수료_온라인몰운영비,F01300,공통_IT팀,3200006301,2025-10-31,2025-10-23,25년 10월 자사몰 운영 QA,,,5000000.0,S
202510,지급수수료,지급수수료,55210123,지급수수료_온라인몰운영비,F01200,공통_e-BIZ팀,3400011525,2025-10-31,2025-10-31,25.10 글로벌몰 운영 대행(요일),,,2500000.0,S
