YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202511,기타비용,통신비,55070117,통신비_기타,F02600,공통_정보보안팀,3200006793,2025-11-04,2025-11-04,25.11_강남사옥_화상회의 및 매장회선료,,,1400000.0,S
202511,기타비용,통신비,55070117,통신비_기타,F02600,공통_정보보안팀,3200006792,2025-11-04,2025-11-04,25.11_강남사옥 외부망 기타서비스 회선료,,,1400000.0,S
202511,기타비용,통신비,55070117,통신비_기타,F00100,공통_임원,3300065799,2025-11-01,2025-10-14,휴대폰 앱사용료,,,179000.0,S
202511,기타비용,통신비,55070117,통신비_기타,F00100,공통_임원,3300070502,2025-11-22,2025-11-22,핸드폰 앱 사용료,,,129000.0,S
202511,기타비용,통신비,55070117,통신비_기타,F02600,공통_정보보안팀,3200006813,2025-11-07,2025-11-07,25.11 강남사옥 무선방화벽 임대료,,,108000.0,S
202511,기타비용,통신비,55070117,통신비_기타,F02600,공통_정보보안팀,3200006790,2025-11-03,2025-11-03,25.11 강남사옥 외부망회선 이용료,,,45000.0,S
202511,기타비용,통신비,55070117,통신비_기타,F00100,공통_임원,3300070503,2025-11-24,2025-11-24,핸드폰 앱 사용료,,,29000.0,S
202511,기타비용,통신비,55070117,통신비_기타,F00100,공통_임원,3300065791,2025-11-01,2025-10-24,휴대폰 앱사용료,,,29000.0,S
202511,기타비용,통신비,55070117,통신비_기타,F00100,공통_임원,3300070504,2025-11-25,2025-11-25,핸드폰 앱 사용료,,,14000.0,S
202511,기타비용,통신비,55070117,통신비_기타,F00100,공통_임원,3300065792,2025-11-01,2025-10-25,휴대폰 앱사용료,,,14000.0,S
202511,기타비용,통신비,55070117,통신비_기타,F00500,공통_HR팀,3200006877,2025-11-18,2025-11-18,2025.11월 KT EDI 이용료 정산,,,11400.0,S
202511,기타비용,통신비,55070117,통신비_기타,F00100,공통_임원,3300065790,2025-11-01,2025-10-22,핸드폰앱 사용료,,,2500.0,S
