YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202501,인건비,인건비,55010105,복리후생비_의료보험,F01200,공통_e-BIZ팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분디지털본부_e-BIZ팀,,,6911980.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F00100,공통_임원,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_임원,,,6495260.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F01300,공통_IT팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분디지털본부_WebPlatform팀,,,4954340.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F01300,공통_IT팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분디지털본부_EnterpriseSolution팀,,,4379930.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F00800,공통_경영관리팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_경영관리팀,,,3953210.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F00500,공통_HR팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_HR팀,,,2985350.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F04500,공통_통합소싱팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_통합소싱팀,,,2783270.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F04700,[CLSD]공통_통합소싱팀,8000000026,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_통합소싱팀,,,2783270.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F00700,공통_회계팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_회계팀,,,2438900.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F03200,공통_PI팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분디지털본부_PI팀,,,2409910.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F04000,공통_글로벌슈즈팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_글로벌슈즈팀,,,2243490.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F03900,공통_퍼포먼스마케팅팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분디지털본부_퍼포먼스마케팅팀,,,2068120.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F03300,공통_무역팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_무역팀,,,1955180.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F01300,공통_IT팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분디지털본부_EnterpriseArchitecture팀,,,1793820.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F00400,공통_법무팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_법무팀,,,1790030.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F03500,[CLSD]공통_콘텐츠담당,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_콘텐츠담당,,,1599570.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F02400,공통_경영기획팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_경영기획,,,1585390.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F03000,공통_AI 엔지니어링팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분디지털본부_데이터팀,,,1518430.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F02500,공통_자금팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_자금팀,,,1441280.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F04600,[CLSD]공통_통합영업팀,8000000026,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_통합영업팀,,,1353490.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F04400,공통_통합영업팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_통합영업팀,,,1353490.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F00300,공통_총무,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_비서팀,,,1317970.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F00000,공통_공통,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분(일용직),,,1224470.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F04200,공통_통합마케팅팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_통합마케팅팀,,,1212700.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F03700,공통_통합인테리어팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_통합인테리어팀,,,1152600.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F02600,공통_정보보안팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분디지털본부_정보보안팀,,,1128290.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F00600,공통_공간기획팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_공간기획팀,,,1069370.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F00200,공통_경영개선팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_경영개선팀,,,1006510.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F03800,공통_운영전략팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_사업운영지원담당,,,984330.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F00400,공통_법무팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_법무담당,,,867340.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F01300,공통_IT팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분디지털본부_IT담당,,,801590.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F01300,공통_IT팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분디지털본부_디지털본부담당,,,784960.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F00300,공통_총무,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_총무,,,724810.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F03800,공통_운영전략팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_운영전략팀,,,628190.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F03200,공통_PI팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분디지털본부_Process담당,,,546700.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F03400,공통_자산관리팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_자산관리팀,,,389520.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F02300,공통_안전보건팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_안전보건팀,,,346310.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F04200,공통_통합마케팅팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_통합마케팅담당,,,342340.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F01800,공통_소비자전략팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_소비자전략팀,,,297720.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F02900,공통_AX팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분디지털본부_AX팀,,,263950.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F02300,공통_안전보건팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_직원서비스안전담당,,,241770.0,S
202501,인건비,인건비,55010105,복리후생비_의료보험,F03400,공통_자산관리팀,3200000743,2025-01-31,2025-01-31,25.01월건강보험회사부담분공통_자산관리담당,,,172210.0,S
