YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00100,공통_임원,3300005497,2025-01-02,2025-01-02,연하장 제작,,,534200.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F04000,공통_글로벌슈즈팀,3300003889,2025-01-09,2025-01-09,25.01.09 글로벌슈즈팀 소모품비(팬톤),,,321000.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00100,공통_임원,3300005551,2025-01-13,2025-01-13,비서실 생수 다과 구입,,,266565.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00100,공통_임원,3300005543,2025-01-20,2025-01-20,비서실 커피 원두 구입,,,177140.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00100,공통_임원,3300005530,2025-01-14,2025-01-14,비서실 비품 구입,,,154700.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00100,공통_임원,3300004411,2025-01-08,2025-01-08,비서실물품,,,93400.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00100,공통_임원,3300005560,2025-01-08,2025-01-08,비서실 비품 구입,,,92200.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F04000,공통_글로벌슈즈팀,3300003890,2025-01-09,2025-01-09,25.01.09 글로벌슈즈팀 소모품비(카트),,,83700.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00100,공통_임원,3300005546,2025-01-15,2025-01-15,비서실 비품 구입,,,78640.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00100,공통_임원,3300005563,2025-01-06,2025-01-06,비서실 비품 구입,,,76200.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00100,공통_임원,3300005531,2025-01-21,2025-01-21,비서실물품,,,75640.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00100,공통_임원,3300005534,2025-01-22,2025-01-22,비서실 비품 구입,,,74450.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00100,공통_임원,3300004327,2025-01-06,2025-01-06,비서실물품,,,65040.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00100,공통_임원,3300005505,2025-01-16,2025-01-16,비서실물품,,,57600.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00100,공통_임원,3300005555,2025-01-27,2025-01-27,비서실물품,,,57600.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00100,공통_임원,3300005499,2025-01-13,2025-01-13,비서실물품,,,51600.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00100,공통_임원,3300005511,2025-01-17,2025-01-17,비서실물품,,,49170.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00100,공통_임원,3300004409,2025-01-08,2025-01-08,비서실물품,,,48500.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F04000,공통_글로벌슈즈팀,3300003972,2025-01-21,2025-01-21,25.01.21 글로벌슈즈팀 소모품비(종량제),,,24455.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F01800,공통_소비자전략팀,3300001145,2025-01-02,2025-01-02,공통 소비자전략팀 소모품비,,,24100.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00100,공통_임원,3300005559,2025-01-27,2025-01-27,비서실물품,,,22600.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00300,공통_총무,3300005527,2025-01-23,2025-01-23,비서실 비품구입,,,21160.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00100,공통_임원,3300005513,2025-01-20,2025-01-20,비서실물품,,,20695.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00100,공통_임원,3300004333,2025-01-08,2025-01-08,비서실물품,,,20695.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F04000,공통_글로벌슈즈팀,3300002363,2025-01-14,2025-01-14,25.01.14 글로벌슈즈팀 소모품비,,,15000.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F01800,공통_소비자전략팀,3300001144,2025-01-02,2025-01-02,공통 소비자전략팀 소모품비,,,13700.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F01200,공통_e-BIZ팀,3300005352,2025-01-02,2025-01-02,원색 마스킹 테이프,,,7740.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00100,공통_임원,3300005550,2025-01-23,2025-01-23,비서실물품,,,7730.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00100,공통_임원,3300005541,2025-01-21,2025-01-21,비서실물품,,,5000.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00100,공통_임원,3300005538,2025-01-21,2025-01-21,비서실물품,,,5000.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F00600,공통_공간기획팀,3300006051,2025-01-08,2025-01-08,사무용품,,,4364.0,S
202501,소모품비,소모품비,55110101,소모품비_사무용품,F04000,공통_글로벌슈즈팀,3300002364,2025-01-21,2025-01-21,25.01.21 글로벌슈즈팀 소모품비,,,2727.0,S
