YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202512,소모품비,소모품비,55110117,소모품비_전산소모품,F01300,공통_IT팀,1900000398,2025-12-31,2025-12-31,25.12월_디지털본부 사업부 어도비 프로그램,,,4185764.0,S
202512,소모품비,소모품비,55110117,소모품비_전산소모품,F00000,공통_공통,1900000398,2025-12-31,2025-12-31,25.12월_공통 사업부 어도비 프로그램,,,2913065.0,S
202512,소모품비,소모품비,55110117,소모품비_전산소모품,F00600,공통_공간기획팀,3400013879,2025-12-29,2025-12-29,공간기획팀 소프트웨어 갱신_AutoCAD,,,2450000.0,S
202512,소모품비,소모품비,55110117,소모품비_전산소모품,F04200,[CLSD]공통_통합마케팅팀,3400013879,2025-12-29,2025-12-29,통합마케팅팀 IT 어도비 프로그램 신규 구매의 건,,,957320.0,S
202512,소모품비,소모품비,55110117,소모품비_전산소모품,F01300,공통_IT팀,3400013876,2025-12-29,2025-12-29,"DELL 27"" 4K UHD P2725QE USB-C 모니터",,,940000.0,S
202512,소모품비,소모품비,55110117,소모품비_전산소모품,F01200,공통_e-BIZ팀,3400013879,2025-12-29,2025-12-29,[E-BIZ] Adobe(통합) 프로그램 구매 건,,,933380.0,S
202512,소모품비,소모품비,55110117,소모품비_전산소모품,F00500,공통_HR팀,3400013876,2025-12-29,2025-12-29,Western Digital Black SN7100 M.2 NVMe 2280 [1TB],,,740000.0,S
202512,소모품비,소모품비,55110117,소모품비_전산소모품,F01300,공통_IT팀,3400013876,2025-12-29,2025-12-29,"DELL 27"" 4K UHD P2725QE USB-C 모니터",,,470000.0,S
202512,소모품비,소모품비,55110117,소모품비_전산소모품,F04900,[CLSD]공통_통합인플루언서마케팅팀,3400013879,2025-12-29,2025-12-29,통합인플루언서마케팅팀 어도비 신규 구매의 건,,,374660.0,S
202512,소모품비,소모품비,55110117,소모품비_전산소모품,F04400,공통_통합영업팀,3400013876,2025-12-29,2025-12-29,Dell 27 P2725H LED Monitor (16;9) IPS,,,230000.0,S
202512,소모품비,소모품비,55110117,소모품비_전산소모품,F02600,공통_정보보안팀,3300072360,2025-12-04,2025-12-04,전산소모품 구매,,,200000.0,S
202512,소모품비,소모품비,55110117,소모품비_전산소모품,F02600,공통_정보보안팀,3300072346,2025-12-15,2025-12-15,전산소모품 구매,,,84700.0,S
202512,소모품비,소모품비,55110117,소모품비_전산소모품,F01300,공통_IT팀,3400013876,2025-12-29,2025-12-29,Apple iPad mini (A17 Pro모델)용 Smart Folio - 차콜 그레이[,,,80000.0,S
202512,소모품비,소모품비,55110117,소모품비_전산소모품,F01300,공통_IT팀,3300073905,2025-12-30,2025-12-30,25.12/공통/ES팀/전산소모품,,,70300.0,S
202512,소모품비,소모품비,55110117,소모품비_전산소모품,F00400,공통_법무팀,3300074040,2025-12-01,2025-12-01,25년 12월 법무팀,,,8200.0,S
