YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00000,공통_공통,4000000109,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,6512917.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00000,공통_공통,4000000110,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,4418035.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F02600,공통_정보보안팀,4000000119,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,4355250.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000112,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,3811111.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000107,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,2566667.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00000,공통_공통,4000000111,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,1951486.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01200,공통_e-BIZ팀,4000000120,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,1940290.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00000,공통_공통,4000000109,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,1612100.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00000,공통_공통,4000000109,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,1230281.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00300,공통_총무,4000000111,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,1120922.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00000,공통_공통,4000000110,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,925556.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00700,공통_회계팀,4000000110,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,813889.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00300,공통_총무,4000000111,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,799504.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00000,공통_공통,4000000111,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,791667.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00000,공통_공통,4000000110,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,772223.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00300,공통_총무,4000000118,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,750000.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000111,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,742500.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00300,공통_총무,4000000111,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,735897.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00000,공통_공통,4000000109,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,664367.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000109,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,588545.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01900,공통_Process팀,4000000118,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,556667.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00000,공통_공통,4000000120,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,552333.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00000,공통_공통,4000000109,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,539000.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00800,공통_경영관리팀,4000000120,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,516905.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00000,공통_공통,4000000109,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,511111.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000119,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,483333.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000111,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,420112.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00300,공통_총무,4000000111,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,420000.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00000,공통_공통,4000000112,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,404444.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00000,공통_공통,4000000109,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,378611.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00000,공통_공통,4000000110,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,345834.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F02900,공통_AX팀,4000000119,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,299833.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00000,공통_공통,4000000109,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,297683.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000119,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,282667.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01900,공통_Process팀,4000000120,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,263333.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000120,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,263000.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000118,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,249750.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00000,공통_공통,4000000118,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,240000.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000118,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,233000.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00500,공통_HR팀,4000000119,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,220417.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01200,공통_e-BIZ팀,4000000120,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,219611.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000110,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,213889.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01900,공통_Process팀,4000000120,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,213333.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000119,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,209083.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000118,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,207000.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000120,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,187882.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000119,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,184667.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00500,공통_HR팀,4000000118,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,180833.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01900,공통_Process팀,4000000120,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,176000.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000110,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,176000.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01900,공통_Process팀,4000000118,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,175133.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00000,공통_공통,4000000109,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,171733.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01900,공통_Process팀,4000000120,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,171333.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00300,공통_총무,4000000111,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,171000.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01200,공통_e-BIZ팀,4000000119,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,166530.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000118,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,164833.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F02600,공통_정보보안팀,4000000119,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,158333.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00600,공통_공간기획팀,4000000120,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,157333.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F03200,공통_PI팀,4000000119,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,149167.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000117,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,135334.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000118,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,134333.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000119,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,132833.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000110,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,128685.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00000,공통_공통,4000000110,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,128250.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01900,공통_Process팀,4000000120,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,119000.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01900,공통_Process팀,4000000120,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,116833.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000118,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,113450.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00700,공통_회계팀,4000000110,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,113206.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01900,공통_Process팀,4000000120,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,113000.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000117,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,107667.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00000,공통_공통,4000000111,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,107555.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000109,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,106983.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000114,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,106666.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01900,공통_Process팀,4000000118,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,106200.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F01300,공통_IT팀,4000000110,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,103715.0,S
202410,감가상각비,감가상각비,55250115,감가상각비_공기구비품,F00300,공통_총무,4000000110,2024-10-31,2024-10-31,AFB/01/2024/010/01,,,103445.0,S
