YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202512,직원경비,여비교통비,55030105,여비교통비_시내교통비,F01300,공통_IT팀,3200008038,2025-12-31,2025-12-31,25.12 임직원 야근교통비_공통_Enterprise Solution팀,,,849360.0,S
202512,직원경비,여비교통비,55030105,여비교통비_시내교통비,F05100,공통_마케팅본부,3200008038,2025-12-31,2025-12-31,25.12 임직원 야근교통비_공통_DX마케팅팀,,,793900.0,S
202512,직원경비,여비교통비,55030105,여비교통비_시내교통비,F02900,공통_AX팀,3200008038,2025-12-31,2025-12-31,25.12 임직원 야근교통비_공통_AX팀,,,609500.0,S
202512,직원경비,여비교통비,55030105,여비교통비_시내교통비,F03000,공통_AI 엔지니어링팀,3200008038,2025-12-31,2025-12-31,25.12 임직원 야근교통비_공통_AI Engineering팀,,,519300.0,S
202512,직원경비,여비교통비,55030105,여비교통비_시내교통비,F00000,공통_공통,3200008038,2025-12-31,2025-12-31,25.12 임직원 카카오비즈니스_서비스 이용료,,,495000.0,S
202512,직원경비,여비교통비,55030105,여비교통비_시내교통비,F00800,공통_경영관리팀,3200008038,2025-12-31,2025-12-31,25.12 임직원 야근교통비_공통_경영관리팀,,,488000.0,S
202512,직원경비,여비교통비,55030105,여비교통비_시내교통비,F05100,공통_마케팅본부,3200008038,2025-12-31,2025-12-31,25.12 임직원 야근교통비_공통_DV/ST마케팅팀,,,361780.0,S
202512,직원경비,여비교통비,55030105,여비교통비_시내교통비,F01300,공통_IT팀,3200008038,2025-12-31,2025-12-31,25.12 임직원 야근교통비_공통_Web Platform팀,,,318600.0,S
202512,직원경비,여비교통비,55030105,여비교통비_시내교통비,F04400,공통_통합영업팀,3200008038,2025-12-31,2025-12-31,25.12 임직원 야근교통비_공통_통합영업팀,,,293500.0,S
202512,직원경비,여비교통비,55030105,여비교통비_시내교통비,F01200,공통_e-BIZ팀,3200008038,2025-12-31,2025-12-31,25.12 임직원 야근교통비_공통_e-BIZ팀,,,284400.0,S
202512,직원경비,여비교통비,55030105,여비교통비_시내교통비,F04800,공통_해외사업팀,3200008038,2025-12-31,2025-12-31,25.12 임직원 야근교통비_공통_Operation팀,,,276900.0,S
202512,직원경비,여비교통비,55030105,여비교통비_시내교통비,F05100,공통_마케팅본부,3200008038,2025-12-31,2025-12-31,25.12 임직원 야근교통비_공통_MLB마케팅팀,,,256600.0,S
202512,직원경비,여비교통비,55030105,여비교통비_시내교통비,F05100,공통_마케팅본부,3200008038,2025-12-31,2025-12-31,25.12 임직원 야근교통비_공통_온라인마케팅팀,,,221800.0,S
202512,직원경비,여비교통비,55030105,여비교통비_시내교통비,F05100,공통_마케팅본부,3200008038,2025-12-31,2025-12-31,25.12 임직원 야근교통비_공통_인플루언서마케팅팀,,,185900.0,S
202512,직원경비,여비교통비,55030105,여비교통비_시내교통비,F02700,공통_Process담당,3300076511,2025-12-23,2025-12-23,교통비,,,145100.0,S
202512,직원경비,여비교통비,55030105,여비교통비_시내교통비,F02400,공통_경영기획팀,3200008038,2025-12-31,2025-12-31,25.12 임직원 야근교통비_공통_경영기획,,,122700.0,S
202512,직원경비,여비교통비,55030105,여비교통비_시내교통비,F00200,공통_경영개선팀,3200008038,2025-12-31,2025-12-31,25.12 임직원 야근교통비_공통_경영개선팀,,,114900.0,S
202512,직원경비,여비교통비,55030105,여비교통비_시내교통비,F04500,공통_통합소싱팀,3200008038,2025-12-31,2025-12-31,25.12 임직원 야근교통비_공통_통합소싱팀,,,97700.0,S
202512,직원경비,여비교통비,55030105,여비교통비_시내교통비,F00300,공통_총무,3200008038,2025-12-31,2025-12-31,25.12 임직원 야근교통비_공통_비서팀,,,96900.0,S
202512,직원경비,여비교통비,55030105,여비교통비_시내교통비,F00600,공통_공간기획팀,3300076328,2025-12-02,2025-12-02,전사브팬드 현장 방문,,,94000.0,S
202512,직원경비,여비교통비,55030105,여비교통비_시내교통비,F00300,공통_총무,3300075688,2025-12-10,2025-12-10,여비교통비,,,94000.0,S
