YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F01300,공통_IT팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,43179490.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F00100,공통_임원,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,34468478.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F05100,공통_마케팅본부,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,23557442.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F02900,공통_AX팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,12116284.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F00800,공통_경영관리팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,10522220.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F01200,공통_e-BIZ팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,10208095.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F00500,공통_HR팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,9488110.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F04500,공통_통합소싱팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,9008632.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F00300,공통_총무,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,8615361.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F00700,공통_회계팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,8532872.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F03900,공통_퍼포먼스마케팅팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,7910999.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F04800,공통_해외사업팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,7856680.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F02500,공통_자금팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,6527258.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F00400,공통_법무팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,6286005.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F03300,공통_무역팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,5967667.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F03000,공통_AI 엔지니어링팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,5920735.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F00600,공통_공간기획팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,5528613.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F04400,공통_통합영업팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,4820115.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F02600,공통_정보보안팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,4478539.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F02400,공통_경영기획팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,3884619.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F00200,공통_경영개선팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,3816653.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F05200,공통_통합온라인채널팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,3544734.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F03700,공통_통합인테리어팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,2412480.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F03400,공통_자산관리팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,2389094.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F03200,공통_PI팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,2119521.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F01800,공통_소비자전략팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,2076180.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F02300,공통_안전보건팀,8000000008,2026-01-31,2026-01-31,[26.01결산] 퇴직급여 반영,,,1344734.0,S
202601,인건비,인건비,53030101,퇴직급여충당금전입액,F03200,공통_PI팀,8000000009,2026-01-31,2026-01-31,[CC대체]26.01월 Process 팀장 겸직 퇴직급여 안분(공통 PI팀-> DX운영기획,,,-1014573.0,H
