YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202511,직원경비,통신비,55070105,통신비_휴대폰지원,F01300,공통_IT팀,3000009497,2025-11-30,2025-11-30,25.11 임직원 통신비_공통_Web Platform팀,,,920000.0,S
202511,직원경비,통신비,55070105,통신비_휴대폰지원,F01200,공통_e-BIZ팀,3000009497,2025-11-30,2025-11-30,25.11 임직원 통신비_공통_e-BIZ팀,,,760000.0,S
202511,직원경비,통신비,55070105,통신비_휴대폰지원,F01300,공통_IT팀,3000009497,2025-11-30,2025-11-30,25.11 임직원 통신비_공통_Enterprise Solution팀,,,680000.0,S
202511,직원경비,통신비,55070105,통신비_휴대폰지원,F02900,공통_AX팀,3000009497,2025-11-30,2025-11-30,25.11 임직원 통신비_공통_AX팀,,,600000.0,S
202511,직원경비,통신비,55070105,통신비_휴대폰지원,F00800,공통_경영관리팀,3000009497,2025-11-30,2025-11-30,25.11 임직원 통신비_공통_경영관리팀,,,549000.0,S
202511,직원경비,통신비,55070105,통신비_휴대폰지원,F03900,공통_퍼포먼스마케팅팀,3000009497,2025-11-30,2025-11-30,25.11 임직원 통신비_공통_퍼포먼스마케팅팀,,,400000.0,S
202511,직원경비,통신비,55070105,통신비_휴대폰지원,F00300,공통_총무,3000009497,2025-11-30,2025-11-30,25.11 임직원 통신비_공통_비서팀,,,354270.0,S
202511,직원경비,통신비,55070105,통신비_휴대폰지원,F05000,공통_디지털콘텐츠팀,3000009497,2025-11-30,2025-11-30,25.11 임직원 통신비_공통_디지털콘텐츠팀,,,320000.0,S
202511,직원경비,통신비,55070105,통신비_휴대폰지원,F04500,공통_통합소싱팀,3000009497,2025-11-30,2025-11-30,25.11 임직원 통신비_공통_통합소싱팀,,,320000.0,S
202511,직원경비,통신비,55070105,통신비_휴대폰지원,F00500,공통_HR팀,3000009497,2025-11-30,2025-11-30,25.11 임직원 통신비_공통_HR팀,,,320000.0,S
202511,직원경비,통신비,55070105,통신비_휴대폰지원,F02700,공통_Process담당,3000009497,2025-11-30,2025-11-30,25.11 임직원 통신비_공통_Process담당,,,287860.0,S
202511,직원경비,통신비,55070105,통신비_휴대폰지원,F03000,공통_AI 엔지니어링팀,3000009497,2025-11-30,2025-11-30,25.11 임직원 통신비_공통_AI Engineering팀,,,280000.0,S
202511,직원경비,통신비,55070105,통신비_휴대폰지원,F00700,공통_회계팀,3000009497,2025-11-30,2025-11-30,25.11 임직원 통신비_공통_회계팀,,,280000.0,S
202511,직원경비,통신비,55070105,통신비_휴대폰지원,F00400,공통_법무팀,3000009497,2025-11-30,2025-11-30,25.11 임직원 통신비_공통_법무담당,,,255400.0,S
202511,직원경비,통신비,55070105,통신비_휴대폰지원,F01300,공통_IT팀,3000009497,2025-11-30,2025-11-30,25.11 임직원 통신비_공통_IT담당,,,253840.0,S
202511,직원경비,통신비,55070105,통신비_휴대폰지원,F03300,공통_무역팀,3000009497,2025-11-30,2025-11-30,25.11 임직원 통신비_공통_무역팀,,,240000.0,S
