YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202512,기타비용,통신비,55070103,통신비_우편료,F02400,공통_경영기획팀,3300073398,2025-12-26,2025-12-26,STE 감사보고서 발송,,,68926.0,S
202512,기타비용,통신비,55070103,통신비_우편료,F00800,공통_경영관리팀,3300075196,2025-12-09,2025-12-09,DHL 서류발송,,,47475.0,S
202512,기타비용,통신비,55070103,통신비_우편료,F00800,공통_경영관리팀,3300075198,2025-12-19,2025-12-19,DHL 서류발송,,,44699.0,S
202512,기타비용,통신비,55070103,통신비_우편료,F00800,공통_경영관리팀,3300075194,2025-12-04,2025-12-04,DHL 서류발송,,,44514.0,S
202512,기타비용,통신비,55070103,통신비_우편료,F00500,공통_HR팀,3300070638,2025-12-09,2025-12-09,25.12월 해외우편료 (공통.HR팀)_신규입사자 계약서 및 웰컴키트 송부(VN),,,30870.0,S
202512,기타비용,통신비,55070103,통신비_우편료,F00500,공통_HR팀,3300070754,2025-12-11,2025-12-11,25.12월 해외우편료 (공통.HR팀)_웰컴키트 및 계약서 서류송부 1건(VN),,,30870.0,S
202512,기타비용,통신비,55070103,통신비_우편료,F00400,공통_법무팀,3300074318,2025-12-18,2025-12-18,25.12월 법무팀 우편료,,,28980.0,S
202512,기타비용,통신비,55070103,통신비_우편료,F00300,공통_총무,3300073396,2025-12-23,2025-12-23,25년 12월 공통 총무 등기우편_출산키트발송,,,5820.0,S
202512,기타비용,통신비,55070103,통신비_우편료,F00300,공통_총무,3300076605,2025-12-31,2025-12-31,25.12 공통 총무 등기우편,,,4850.0,S
202512,기타비용,통신비,55070103,통신비_우편료,F02500,공통_자금팀,3200007966,2025-12-17,2025-12-17,등기우편 발송,,,4160.0,S
202512,기타비용,통신비,55070103,통신비_우편료,F00300,공통_총무,3300073769,2025-12-12,2025-12-12,MLB 리테일채널팀 등기우편료(등기/안산시화/명찰줄 발송),,,4000.0,S
202512,기타비용,통신비,55070103,통신비_우편료,F03300,공통_무역팀,3300074333,2025-12-08,2025-12-08,25.12월 무역팀 OBL 발송료,,,3040.0,S
202512,기타비용,통신비,55070103,통신비_우편료,F00300,공통_총무,3300076319,2025-12-08,2025-12-08,25년 12월 공통 총무 등기우편,,,3040.0,S
202512,기타비용,통신비,55070103,통신비_우편료,F03700,공통_통합인테리어팀,3300070546,2025-12-04,2025-12-04,협력사 내용증명 반송 우편비,,,2400.0,S
