YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202512,직원경비,차량유지비,55050105,차량유지비_주차비,F00900,공통_디지털본부담당,3300073478,2025-12-23,2025-12-23,주차비,,,30000.0,S
202512,직원경비,차량유지비,55050105,차량유지비_주차비,F00300,공통_총무,3200007854,2025-12-30,2025-12-30,법인차량 발렛,,,22000.0,S
202512,직원경비,차량유지비,55050105,차량유지비_주차비,F04400,공통_통합영업팀,3300073957,2025-12-04,2025-12-04,DV_12월 S/강남 미팅시 주차비,,,13500.0,S
202512,직원경비,차량유지비,55050105,차량유지비_주차비,F04400,공통_통합영업팀,3300075909,2025-12-11,2025-12-11,ST_신세계프라퍼티 미팅 후 출차 주차비,,,9000.0,S
202512,직원경비,차량유지비,55050105,차량유지비_주차비,F04400,공통_통합영업팀,3300075910,2025-12-12,2025-12-12,DV_신세계매입남성 바이어 상견례,,,7500.0,S
202512,직원경비,차량유지비,55050105,차량유지비_주차비,F00300,공통_총무,3300069679,2025-12-01,2025-12-01,법인차량 주차비,,,5500.0,S
202512,직원경비,차량유지비,55050105,차량유지비_주차비,F00300,공통_총무,3300071034,2025-12-15,2025-12-15,법인차량 주차,,,5000.0,S
202512,직원경비,차량유지비,55050105,차량유지비_주차비,F00300,공통_총무,3200007848,2025-12-02,2025-12-02,법인차량 발렛,,,5000.0,S
202512,직원경비,차량유지비,55050105,차량유지비_주차비,F00300,공통_총무,3200007850,2025-12-12,2025-12-12,법인차량 주차비,,,5000.0,S
202512,직원경비,차량유지비,55050105,차량유지비_주차비,F00300,공통_총무,3200007851,2025-12-17,2025-12-17,법인차량 주차비,,,5000.0,S
202512,직원경비,차량유지비,55050105,차량유지비_주차비,F00300,공통_총무,3200007853,2025-12-11,2025-12-11,법인차량 발렛,,,4000.0,S
202512,직원경비,차량유지비,55050105,차량유지비_주차비,F00300,공통_총무,3200007852,2025-12-10,2025-12-10,법인차량 발렛,,,3000.0,S
202512,직원경비,차량유지비,55050105,차량유지비_주차비,F00300,공통_총무,3300074345,2025-12-05,2025-12-05,법인차량 주차비,,,3000.0,S
202512,직원경비,차량유지비,55050105,차량유지비_주차비,F00300,공통_총무,3300074343,2025-12-01,2025-12-01,법인차량 주차비,,,3000.0,S
202512,직원경비,차량유지비,55050105,차량유지비_주차비,F04400,공통_통합영업팀,3300073977,2025-12-18,2025-12-18,DV_12월 S/강남 오픈시 주차비,,,3000.0,S
