YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202501,인건비,인건비,55010107,복리후생비_고용보험,F00100,공통_임원,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_임원,,,2898400.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F00500,공통_HR팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_HR팀,,,2562882.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F01200,공통_e-BIZ팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분디지털본부_e-BIZ팀,,,2549106.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F01300,공통_IT팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분디지털본부_WebPlatform팀,,,1838580.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F01300,공통_IT팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분디지털본부_EnterpriseSolution팀,,,1575408.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F00800,공통_경영관리팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_경영관리팀,,,1372729.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F04500,공통_통합소싱팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_통합소싱팀,,,1009637.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F04700,[CLSD]공통_통합소싱팀,8000000026,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_통합소싱팀,,,1009637.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F03200,공통_PI팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분디지털본부_PI팀,,,847666.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F00700,공통_회계팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_회계팀,,,816350.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F04000,공통_글로벌슈즈팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_글로벌슈즈팀,,,768216.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F03900,공통_퍼포먼스마케팅팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분디지털본부_퍼포먼스마케팅팀,,,748513.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F03300,공통_무역팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_무역팀,,,724740.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F01300,공통_IT팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분디지털본부_EnterpriseArchitecture팀,,,655069.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F00400,공통_법무팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_법무팀,,,650910.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F03000,공통_AI 엔지니어링팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분디지털본부_데이터팀,,,634530.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F04200,공통_통합마케팅팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_통합마케팅팀,,,576558.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F03700,공통_통합인테리어팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_통합인테리어팀,,,556293.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F02400,공통_경영기획팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_경영기획,,,548526.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F02500,공통_자금팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_자금팀,,,536860.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F04600,[CLSD]공통_통합영업팀,8000000026,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_통합영업팀,,,508586.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F04400,공통_통합영업팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_통합영업팀,,,508586.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F00300,공통_총무,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_비서팀,,,440405.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F02600,공통_정보보안팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분디지털본부_정보보안팀,,,405127.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F00600,공통_공간기획팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_공간기획팀,,,382435.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F00200,공통_경영개선팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_경영개선팀,,,355157.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F03800,공통_운영전략팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_사업운영지원담당,,,335278.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F00400,공통_법무팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_법무담당,,,290072.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F02900,공통_AX팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분디지털본부_AX팀,,,289303.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F01300,공통_IT팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분디지털본부_IT담당,,,275497.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F00300,공통_총무,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_총무,,,265011.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F01300,공통_IT팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분디지털본부_디지털본부담당,,,263789.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F03500,[CLSD]공통_콘텐츠담당,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_콘텐츠담당,,,240652.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F03800,공통_운영전략팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_운영전략팀,,,212984.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F00000,공통_공통,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분(일용직),,,185860.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F03200,공통_PI팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분디지털본부_Process담당,,,179921.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F02300,공통_안전보건팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_직원서비스안전담당,,,135320.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F02300,공통_안전보건팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_안전보건팀,,,134430.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F03400,공통_자산관리팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_자산관리팀,,,132768.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F04200,공통_통합마케팅팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_통합마케팅담당,,,119336.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F01800,공통_소비자전략팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_소비자전략팀,,,106409.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F03400,공통_자산관리팀,3200000743,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_자산관리담당,,,88535.0,S
202501,인건비,인건비,55010107,복리후생비_고용보험,F04400,공통_통합영업팀,8000000026,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_통합영업팀,,,-508586.0,H
202501,인건비,인건비,55010107,복리후생비_고용보험,F04500,공통_통합소싱팀,8000000026,2025-01-31,2025-01-31,25.01월고용보험회사부담분공통_통합소싱팀,,,-1009637.0,H
