YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202411,기타비용,도서인쇄비,55150101,도서인쇄비,F00300,공통_총무,3400013195,2024-11-30,2024-11-30,24.11 양식 인쇄비,,,11414545.0,S
202411,기타비용,도서인쇄비,55150101,도서인쇄비,F00300,공통_총무,3300080869,2024-11-08,2024-11-08,24.11 임직원 도서 구입비 (국내도서),,,1564660.0,S
202411,기타비용,도서인쇄비,55150101,도서인쇄비,F00100,공통_임원,3300084213,2024-11-14,2024-11-14,리더간담회 도서 구입,,,500700.0,S
202411,기타비용,도서인쇄비,55150101,도서인쇄비,F00300,공통_총무,3300080930,2024-11-14,2024-11-14,24.11 임직원 도서구입비(해외도서),,,342300.0,S
202411,기타비용,도서인쇄비,55150101,도서인쇄비,F01800,공통_소비자전략팀,3300081648,2024-11-06,2024-11-06,공통 소비자전략팀 도서인쇄비,,,284624.0,S
202411,기타비용,도서인쇄비,55150101,도서인쇄비,F00100,공통_임원,3300084214,2024-11-14,2024-11-14,리더간담회 도서 구입,,,250200.0,S
202411,기타비용,도서인쇄비,55150101,도서인쇄비,F00100,공통_임원,3300084216,2024-11-14,2024-11-14,리더간담회 도서 구입,,,250200.0,S
202411,기타비용,도서인쇄비,55150101,도서인쇄비,F01900,공통_Process팀,3400013147,2024-11-30,2024-11-30,24.11 명함 인쇄비,,,144000.0,S
202411,기타비용,도서인쇄비,55150101,도서인쇄비,F00000,공통_공통,3400013147,2024-11-30,2024-11-30,24.11 명함 인쇄비,,,108000.0,S
202411,기타비용,도서인쇄비,55150101,도서인쇄비,F00700,공통_회계팀,3400012588,2024-11-05,2024-11-05,24.11월 회계팀 삼일총서 구독료,,,79000.0,S
202411,기타비용,도서인쇄비,55150101,도서인쇄비,F01300,공통_IT팀,3300081018,2024-11-11,2024-11-11,업무 관련 서적 구매,,,75900.0,S
202411,기타비용,도서인쇄비,55150101,도서인쇄비,F00300,공통_총무,3400012697,2024-11-14,2024-11-14,24.11 임원 신문 구독료(월정액),,,50000.0,S
202411,기타비용,도서인쇄비,55150101,도서인쇄비,F01300,공통_IT팀,3300080499,2024-11-08,2024-11-08,업무관련도서구매,,,48600.0,S
202411,기타비용,도서인쇄비,55150101,도서인쇄비,F01300,공통_IT팀,3300086342,2024-11-29,2024-11-29,24.11 웹플랫폼팀 도서인쇄비,,,22500.0,S
202411,기타비용,도서인쇄비,55150101,도서인쇄비,F00100,공통_임원,3300086443,2024-11-25,2024-11-25,신문구독료,,,18182.0,S
