YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202601,기타비용,접대비,55190105,접대비_일반,F00100,공통_임원,3200000521,2026-01-31,2026-01-31,26.01 본사 직원구매 마감(~1.31),,,1627300.0,S
202601,기타비용,접대비,55190105,접대비_일반,F00100,공통_임원,3300004794,2026-01-19,2026-01-19,카드 제작(설 카드 제작),,,704000.0,S
202601,기타비용,접대비,55190105,접대비_일반,F00100,공통_임원,3200000199,2026-01-17,2026-01-17,26.01 본사 직원구매 마감(~1.17),,,673620.0,S
202601,기타비용,접대비,55190105,접대비_일반,F00100,공통_임원,3300005389,2026-01-14,2026-01-14,접대비,,,560000.0,S
202601,기타비용,접대비,55190105,접대비_일반,F00100,공통_임원,3300005388,2026-01-07,2026-01-07,접대비,,,560000.0,S
202601,기타비용,접대비,55190105,접대비_일반,F00100,공통_임원,3300004775,2026-01-30,2026-01-30,접대비 (설 선물 카드 제작),,,495000.0,S
202601,기타비용,접대비,55190105,접대비_일반,F00100,공통_임원,3300004892,2026-01-22,2026-01-22,접대비(설선물),,,396000.0,S
202601,기타비용,접대비,55190105,접대비_일반,F00100,공통_임원,3300004893,2026-01-30,2026-01-30,접대비(설선물),,,148760.0,S
202601,기타비용,접대비,55190105,접대비_일반,F00100,공통_임원,3300004903,2026-01-28,2026-01-28,접대비(설선물),,,138700.0,S
202601,기타비용,접대비,55190105,접대비_일반,F00100,공통_임원,3300004796,2026-01-22,2026-01-22,설 선물 카드 샘플 구입,,,117000.0,S
202601,기타비용,접대비,55190105,접대비_일반,F00100,공통_임원,3300004788,2026-01-05,2026-01-05,크리스마스 손님 선물 (파네토네),,,72000.0,S
202601,기타비용,접대비,55190105,접대비_일반,F00100,공통_임원,3300004905,2026-01-30,2026-01-30,접대비,,,32200.0,S
202601,기타비용,접대비,55190105,접대비_일반,F00700,공통_회계팀,3300002411,2026-01-05,2026-01-05,1월 법인카드사용내역_외부감사인미팅,,,27500.0,S
