YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202412,지급수수료,지급수수료,55210169,지급수수료_렌탈료(차량제외),F00300,공통_총무,3300089395,2024-12-16,2024-12-16,"24.12 정수기,청정기,비데 렌탈료",,,2146091.0,S
202412,지급수수료,지급수수료,55210169,지급수수료_렌탈료(차량제외),F00000,공통_공통,3400014109,2024-12-19,2024-12-19,24.12 칼라복사기 렌탈료,,,1823100.0,S
202412,지급수수료,지급수수료,55210169,지급수수료_렌탈료(차량제외),F00400,공통_법무팀,3300088570,2024-12-05,2024-12-05,24.12월 법무팀 지급수수료_렌탈료,,,88000.0,S
202412,지급수수료,지급수수료,55210169,지급수수료_렌탈료(차량제외),F00300,공통_총무,3300090079,2024-12-20,2024-12-20,24.12 제빙기 렌탈료,,,69900.0,S
202412,지급수수료,지급수수료,55210169,지급수수료_렌탈료(차량제외),F00300,공통_총무,3300088681,2024-12-05,2024-12-05,24.12 부산 정수기 렌탈료,,,52636.0,S
202412,지급수수료,지급수수료,55210169,지급수수료_렌탈료(차량제외),F00300,공통_총무,3300088682,2024-12-05,2024-12-05,24.12 부산 청정기 렌탈료,,,44455.0,S
202412,지급수수료,지급수수료,55210169,지급수수료_렌탈료(차량제외),F00300,공통_총무,3300088679,2024-12-05,2024-12-05,24.12 수지 청정기 렌탈료,,,29909.0,S
202412,지급수수료,지급수수료,55210169,지급수수료_렌탈료(차량제외),F00300,공통_총무,3300088677,2024-12-05,2024-12-05,24.12 수지 청정기 렌탈료,,,29909.0,S
202412,지급수수료,지급수수료,55210169,지급수수료_렌탈료(차량제외),F00300,공통_총무,3300088678,2024-12-05,2024-12-05,24.12 수지 청정기 렌탈료,,,29909.0,S
202412,지급수수료,지급수수료,55210169,지급수수료_렌탈료(차량제외),F00300,공통_총무,3300088680,2024-12-05,2024-12-05,24.12 수지 청정기 렌탈료,,,29909.0,S
202412,지급수수료,지급수수료,55210169,지급수수료_렌탈료(차량제외),F00300,공통_총무,3300088675,2024-12-05,2024-12-05,24.12 사옥 비데 렌탈료,,,13545.0,S
202412,지급수수료,지급수수료,55210169,지급수수료_렌탈료(차량제외),F00300,공통_총무,3300088673,2024-12-05,2024-12-05,24.12 사옥 비데 렌탈료,,,13545.0,S
202412,지급수수료,지급수수료,55210169,지급수수료_렌탈료(차량제외),F00300,공통_총무,3300088674,2024-12-05,2024-12-05,24.12 사옥 비데 렌탈료,,,13545.0,S
202412,지급수수료,지급수수료,55210169,지급수수료_렌탈료(차량제외),F00300,공통_총무,3300088676,2024-12-05,2024-12-05,24.12 사옥 비데 렌탈료,,,13545.0,S
