YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F01300,공통_IT팀,3400000235,2025-01-23,2025-01-23,WP팀 인프라 운영,,,21900000.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F01300,공통_IT팀,3400000074,2025-01-01,2025-01-01,AWS MSP 비용 24.12,,,21878332.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F01300,공통_IT팀,3400000205,2025-01-22,2025-01-22,WP팀 프론트엔드 개발 운영 및 퍼블리싱,,,18000000.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F03200,공통_PI팀,3400000190,2025-01-22,2025-01-22,25.01  RFID 고도화 계약 정산의 건,,,14200000.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F01300,공통_IT팀,3400000275,2025-01-25,2025-01-25,EC OMS 백엔드 개발 및 운영(단순추구),,,11000000.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F03200,공통_PI팀,1900000040,2025-01-31,2025-01-31,25.01월_[MERP / CN_OMS / GOMS] 시스템 유지보수 계약,,,6449132.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F03000,공통_AI 엔지니어링팀,3400001200,2025-01-31,2025-01-31,25년1월 리틀플래닛 유지보수 비용 세금전표,,,5000000.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F03200,공통_PI팀,3400000301,2025-01-23,2025-01-23,인플루언서시스템 유지보수비 건 (25년 1월),,,4700000.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F03200,공통_PI팀,3400000018,2025-01-06,2024-12-24,24.12 인플루언서시스템 유지보수 개발비,,,4700000.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F00500,공통_HR팀,3400000639,2025-01-23,2025-01-23,25.1_Finstagram  유지보수,,,4500000.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F03200,공통_PI팀,3400000293,2025-01-31,2025-01-31,PLM 유지보수비,,,4320000.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F01300,공통_IT팀,3400000438,2025-01-15,2025-01-15,25년 01월 RFID S/W 유지보수비,,,2625000.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F03000,공통_AI 엔지니어링팀,3300003164,2025-01-10,2025-01-10,25년 1월 IT유지보수비,,,2613168.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F02600,공통_정보보안팀,3400000406,2025-01-24,2025-01-24,25.01 본사 네트워크 유지보수료,,,2611500.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F01300,공통_IT팀,3400000436,2025-01-31,2025-01-31,25.01 POS 결제 솔루션 (브이디크럭스),,,2500000.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F00500,공통_HR팀,3400000673,2025-01-23,2025-01-23,2025.01월 HR대시보드 유지보수비,,,2500000.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F02600,공통_정보보안팀,1900000041,2025-01-31,2025-01-31,25.01월_네트워크 접근제어 솔루션 유지보수,,,1578707.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F01300,공통_IT팀,3400000440,2025-01-15,2025-01-15,25년 01월 물류RFID S/W 유지보수비,,,1300000.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F01300,공통_IT팀,1900000042,2025-01-31,2025-01-31,25.01월_SAP DB 암호화 솔루션 MA 비용,,,1031918.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F02600,공통_정보보안팀,3400000404,2025-01-31,2025-01-31,25.01 ERP 웹방화벽 임대유지보수 비용,,,880000.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F02600,공통_정보보안팀,3400000402,2025-01-24,2025-01-24,25.01 방화벽 유지보수 비용,,,877590.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F01300,공통_IT팀,1900000040,2025-01-31,2025-01-31,25.01월_WMS 라이선스 유지보수 계약,,,817890.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F01300,공통_IT팀,1900000040,2025-01-31,2025-01-31,25.01월_오라클DB 라이선스 갱신(DBMS 시간제 유지보수),,,356712.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F02600,공통_정보보안팀,3400000464,2025-01-31,2025-01-31,25.01 망연계솔루션 유지보수 비용,,,280000.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F02600,공통_정보보안팀,3400000405,2025-01-31,2025-01-31,25.01 IDC 방화벽 보안관제서비스,,,250000.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F01300,공통_IT팀,1900000042,2025-01-31,2025-01-31,25.01월_Github SW 라이센스 유지보수비,,,223419.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F01300,공통_IT팀,3300003659,2025-01-17,2025-01-17,25.01 실시간 통신 솔루션 푸셔 사용 건,,,147342.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F03000,공통_AI 엔지니어링팀,3300003158,2025-01-02,2025-01-02,25년 1월 IT유지보수비,,,112579.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F01300,공통_IT팀,1900000038,2025-01-31,2025-01-31,25.01월_2024년도 디지털본부 Github SW 연간유지보수비용,,,23049.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F01300,공통_IT팀,3300000349,2025-01-01,2025-01-01,25.01 웹플랫폼팀 Copilot 라이선스,,,15017.0,S
202501,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F03200,공통_PI팀,3400000029,2025-01-06,2024-12-24,24.12 인플루언서시스템 유지보수 개발비,,,-4700000.0,H
