YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202511,인건비,인건비,55130101,세금과공과_국민연금,F01200,공통_e-BIZ팀,3200007435,2025-11-30,2025-11-30,25.11월 국민연금 회사부담분 디지털본부_e-BIZ팀||||,,,7146850.0,S
202511,인건비,인건비,55130101,세금과공과_국민연금,F01300,공통_IT팀,3200007435,2025-11-30,2025-11-30,25.11월 국민연금 회사부담분 디지털본부_Web Platform팀||||,,,5722650.0,S
202511,인건비,인건비,55130101,세금과공과_국민연금,F01300,공통_IT팀,3200007435,2025-11-30,2025-11-30,25.11월 국민연금 회사부담분 디지털본부_Enterprise Solution팀||||,,,4161800.0,S
202511,인건비,인건비,55130101,세금과공과_국민연금,F02900,공통_AX팀,3200007435,2025-11-30,2025-11-30,25.11월 국민연금 회사부담분 디지털본부_AX팀||||,,,3785230.0,S
202511,인건비,인건비,55130101,세금과공과_국민연금,F00800,공통_경영관리팀,3200007435,2025-11-30,2025-11-30,25.11월 국민연금 회사부담분 공통_경영관리팀||||,,,3027120.0,S
202511,인건비,인건비,55130101,세금과공과_국민연금,F03900,공통_퍼포먼스마케팅팀,3200007435,2025-11-30,2025-11-30,25.11월 국민연금 회사부담분 디지털본부_퍼포먼스마케팅팀||||,,,2476510.0,S
202511,인건비,인건비,55130101,세금과공과_국민연금,F00700,공통_회계팀,3200007435,2025-11-30,2025-11-30,25.11월 국민연금 회사부담분 공통_회계팀||||,,,2420050.0,S
202511,인건비,인건비,55130101,세금과공과_국민연금,F04500,공통_통합소싱팀,3200007435,2025-11-30,2025-11-30,25.11월 국민연금 회사부담분 공통_통합소싱팀||||,,,2196620.0,S
202511,인건비,인건비,55130101,세금과공과_국민연금,F00500,공통_HR팀,3200007435,2025-11-30,2025-11-30,25.11월 국민연금 회사부담분 공통_HR팀||||,,,2007610.0,S
202511,인건비,인건비,55130101,세금과공과_국민연금,F03000,공통_AI 엔지니어링팀,3200007435,2025-11-30,2025-11-30,25.11월 국민연금 회사부담분 디지털본부_AI Engineering팀||||,,,1862290.0,S
202511,인건비,인건비,55130101,세금과공과_국민연금,F02500,공통_자금팀,3200007435,2025-11-30,2025-11-30,25.11월 국민연금 회사부담분 공통_자금팀||||,,,1655500.0,S
202511,인건비,인건비,55130101,세금과공과_국민연금,F00400,공통_법무팀,3200007435,2025-11-30,2025-11-30,25.11월 국민연금 회사부담분 공통_법무팀||||,,,1597810.0,S
