YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202412,기타비용,통신비,55070117,통신비_기타,F02600,공통_정보보안팀,3200008798,2024-12-04,2024-12-04,24.12 역삼사옥 인터넷 전용회선 이용료,,,1785000.0,S
202412,기타비용,통신비,55070117,통신비_기타,F02600,공통_정보보안팀,3200008794,2024-12-07,2024-12-07,24.12 역삼사옥 무선방화벽 임대료,,,108000.0,S
202412,기타비용,통신비,55070117,통신비_기타,F02600,공통_정보보안팀,3200008800,2024-12-07,2024-12-07,24.12 역삼사옥 화상회의 본관10F회선,,,90000.0,S
202412,기타비용,통신비,55070117,통신비_기타,F02600,공통_정보보안팀,3200008799,2024-12-07,2024-12-07,24.12 역삼사옥 화상회의 본관 3F회선,,,66000.0,S
202412,기타비용,통신비,55070117,통신비_기타,F02600,공통_정보보안팀,3200008796,2024-12-07,2024-12-07,24.12 역삼사옥 별관외부망 회선,,,66000.0,S
202412,기타비용,통신비,55070117,통신비_기타,F00000,공통_공통,1200379267,2024-12-31,2024-12-31,2024.03월 KT 이용료 정산,,,59248.0,S
202412,기타비용,통신비,55070117,통신비_기타,F02600,공통_정보보안팀,3200008797,2024-12-07,2024-12-07,24.12 역삼사옥 외부망회선 이용료,,,35000.0,S
202412,기타비용,통신비,55070117,통신비_기타,F00400,공통_법무팀,3300090122,2024-12-18,2024-12-18,공통 법무팀_12월 통신비(항공기 WIFI),,,32523.0,S
202412,기타비용,통신비,55070117,통신비_기타,F00400,공통_법무팀,3300090121,2024-12-07,2024-12-07,공통 법무팀_12월 통신비(항공기 WIFI),,,31842.0,S
202412,기타비용,통신비,55070117,통신비_기타,F00500,공통_HR팀,3200008885,2024-12-24,2024-12-24,2024.12월 KT EDI 이용료 정산,,,11400.0,S
202412,기타비용,통신비,55070117,통신비_기타,F00100,공통_임원,3300089129,2024-12-14,2024-12-14,핸드폰 앱사용료,,,3300.0,S
202412,기타비용,통신비,55070117,통신비_기타,F00000,공통_공통,1200379269,2024-12-31,2024-12-31,[ST]스타필드코엑스 통신비 4/5월 사용분,,,1589.0,S
202412,기타비용,통신비,55070117,통신비_기타,F00000,공통_공통,8000236746,2024-12-31,2024-12-31,[ST]스타필드코엑스 통신비 4/5월 사용분 공통->ST,,,-1589.0,H
