YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00700,공통_회계팀,3400015008,2024-12-31,2024-12-31,24.12월 자산운용서비스 수수료(HC),,,89895412.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00000,공통_공통,3100007455,2024-12-31,2024-12-31,24.4Q 부가세 생산비 단수차이,,,30726753.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00000,공통_공통,3100007457,2024-12-31,2024-12-31,24.4Q 부가세 생산비 단수차이,,,24213064.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00000,공통_공통,1200379059,2024-12-31,2024-12-31,24.4Q 인천공항세관 부가세 불공처리,,,9977707.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00000,공통_공통,1200379049,2024-12-31,2024-12-31,24.4Q 인천공항세관 부가세 불공처리,,,9927972.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00000,공통_공통,1200379058,2024-12-31,2024-12-31,24.4Q 인천공항세관 부가세 불공처리,,,9927972.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00000,공통_공통,3300089127,2024-12-13,2024-12-13,24.12 이천 A/B동 보안 용역료,,,7590000.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00300,공통_총무,3400014236,2024-12-31,2024-12-31,24.12 은하수 전구 배선 및 설치,,,4600000.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00700,공통_회계팀,1200378474,2024-12-31,2024-10-31,24.10월 중국 SAP 유지보수비 대납 청구분,,,3116666.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00700,공통_회계팀,1200378475,2024-12-31,2024-11-30,24.11월 중국 SAP 유지보수비 대납 청구분,,,3116666.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00700,공통_회계팀,3400014888,2024-12-24,2024-12-24,24.12월 중국 SAP 유지보수비(웅진),,,3116666.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00700,공통_회계팀,3400014886,2024-12-31,2024-10-25,24.10월 중국 SAP 유지보수비(웅진),,,3116666.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00700,공통_회계팀,1200378476,2024-12-31,2024-12-31,24.12월 중국 SAP 유지보수비 대납 청구분,,,3116666.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00700,공통_회계팀,3400014887,2024-12-31,2024-11-25,24.11월 중국 SAP 유지보수비(웅진),,,3116666.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00700,공통_회계팀,3400014108,2024-12-25,2024-12-25,24.12월 회계팀 SA 전표관리수수료,,,3000000.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F01300,공통_IT팀,3400014707,2024-12-13,2024-12-13,24년 11월 RFID 장비 수리,,,2124000.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00400,공통_법무팀,3200009298,2024-12-31,2024-12-31,24.4Q_DX 중국 IP 수수료,,,2027781.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00300,공통_총무,1900000373,2024-12-31,2024-12-31,24.12월_24년 웰링턴 연회비 납부,,,1868493.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00700,공통_회계팀,3400014107,2024-12-25,2024-12-25,24.12월 SA 출장관리비 사용료,,,1700000.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F01200,공통_e-BIZ팀,3400013813,2024-12-05,2024-12-05,24.11월 NICE 본인인증 수수료,,,1589874.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00000,공통_공통,3400014041,2024-12-24,2024-12-24,12월 MLB 샵캐스트 음원 정산의 건,,,736364.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F01300,공통_IT팀,3400014706,2024-12-05,2024-12-05,24년 12월 RFID 장비 수리,,,724000.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00300,공통_총무,3200008821,2024-12-19,2024-12-19,[총무팀] 지급수수료_12월(비서실),,,495000.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00000,공통_공통,3400013897,2024-12-01,2024-12-01,12월 유니포스트 전자세금계산서 비용 정산,,,400000.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00700,공통_회계팀,3400013974,2024-12-05,2024-12-05,24.12월 회계팀 삼일웹사이트 이용료,,,350000.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00000,공통_공통,5900001785,2024-12-24,2024-12-24,24.12월 베트남 물품대_CDI24000051_이체수수료,,,315947.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00000,공통_공통,5900001786,2024-12-24,2024-12-24,24.12월 베트남 물품대_CDI24000051_이체수수료,,,315947.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00000,공통_공통,5900001705,2024-12-02,2024-12-02,이체수수료,,,304132.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00800,공통_경영관리팀,1900000370,2024-12-31,2024-12-31,24.12월_공통 경영관리팀 대한상공회의소 유통표준코드 연회비,,,269744.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F02500,공통_자금팀,3400013935,2024-12-16,2024-12-16,24.12월 사이버브랜치 수수료(11월사용),,,200000.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00000,공통_공통,5900001706,2024-12-02,2024-12-02,이체수수료,,,166017.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00300,공통_총무,3400013958,2024-12-16,2024-12-16,24.12 스마트링크 서비스 이용료,,,150000.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F01300,공통_IT팀,3300091152,2024-12-06,2024-12-06,IT팀 장비 AS 비용 (공기청정기),,,109091.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00300,공통_총무,3200008878,2024-12-24,2024-12-24,24.12 법인차량 번호판 교체비용 납부,,,88000.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F00700,공통_회계팀,3400013976,2024-12-13,2024-12-13,24.12월 회계팀 택스넷 이용료,,,85000.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F01200,공통_e-BIZ팀,3400014213,2024-12-31,2024-12-31,24.12 보증보험 서비스 이용료(DX),,,78000.0,S
202412,지급수수료,지급수수료,55210173,지급수수료_기타,F01300,공통_IT팀,3300091150,2024-12-06,2024-12-06,IT팀 장비 AS 비용 (공기청정기),,,76364.0,S
